,precision,recall,f1-score,support
"Raw Meats, North Indian, Fast Food",0.7142857142857143,0.5,0.5882352941176471,10.0
Seafood,0.0,0.0,0.0,3.0
"Seafood, Italian",0.0,0.0,0.0,0.0
"Seafood, North Indian",0.0,0.0,0.0,1.0
"Seafood, Sushi",0.0,0.0,0.0,0.0
"Seafood, Western",0.0,0.0,0.0,0.0
South Indian,0.0,0.0,0.0,23.0
"South Indian, Biryani",0.0,0.0,0.0,1.0
"South Indian, Chinese",0.0,0.0,0.0,7.0
"South Indian, Chinese, Fast Food",0.0,0.0,0.0,1.0
"South Indian, Chinese, North Indian",0.0,0.0,0.0,1.0
"South Indian, Fast Food",0.0,0.0,0.0,2.0
"South Indian, Fast Food, Chinese",0.0,0.0,0.0,0.0
"South Indian, North Indian",0.0,0.0,0.0,4.0
"South Indian, North Indian, Chinese",0.6,0.3333333333333333,0.42857142857142855,9.0
Southern,0.0,0.0,0.0,1.0
"Spanish, Tapas",0.0,0.0,0.0,1.0
Steak,0.0,0.0,0.0,2.0
Street Food,0.17073170731707318,0.23333333333333334,0.19718309859154928,30.0
"Street Food, Beverages",0.0,0.0,0.0,1.0
"Street Food, Chinese",0.0,0.0,0.0,1.0
"Street Food, Desserts",0.0,0.0,0.0,1.0
"Street Food, Fast Food",0.0,0.0,0.0,2.0
"Street Food, Mithai",0.0,0.0,0.0,4.0
"Street Food, North Indian",0.0,0.0,0.0,3.0
"Street Food, North Indian, South Indian, Mithai",0.0,0.0,0.0,1.0
"Street Food, South Indian",0.0,0.0,0.0,1.0
"Street Food, South Indian, Mithai",0.0,0.0,0.0,1.0
"Sunda, Indonesian",1.0,1.0,1.0,1.0
Sushi,0.0,0.0,0.0,1.0
"Sushi, Asian",0.0,0.0,0.0,1.0
Tea,0.0,0.0,0.0,1.0
"Tea, Fast Food",0.0,0.0,0.0,2.0
Thai,0.0,0.0,0.0,3.0
"Thai, Asian",0.0,0.0,0.0,0.0
"Thai, Chinese",0.0,0.0,0.0,1.0
"Tibetan, Chinese",0.0,0.0,0.0,3.0
"Tibetan, Chinese, North Indian",0.0,0.0,0.0,0.0
Turkish,0.0,0.0,0.0,1.0
Vietnamese,0.0,0.0,0.0,0.0
accuracy,0.2189957652752571,0.2189957652752571,0.2189957652752571,0.2189957652752571
macro avg,0.09224275081550902,0.09054186998463166,0.08807943309374938,1653.0
weighted avg,0.1744349947072661,0.2189957652752571,0.1826848524812904,1653.0
